# Spark-gap event table. SI units unless noted in SPARK_GAP_METRICS.md.
# Storage units: s, V, V/s, Hz, J, C, A, H.
# event_index [1]: 0-based order of detected collapses. Used to plot conditioning.
# first_cycle [bool]: True when the preceding ramp is much flatter than the later population (startup / long plateau). Kept in the event table; excluded from typical stats.
# t_break [s]: Collapse-start time: first sample of the steepest ~20 ns drop. Event timestamp for all intervals; not the 1-sample voltage maximum.
# v_breakdown [V]: Median voltage over the ~20-50 ns plateau immediately before t_break. Repetitive breakdown voltage for that shot.
# v_undershoot [V]: Minimum in the ~200 ns after t_break. Includes inductive kick / probe ringing.
# v_residual [V]: Median voltage after ringing settles (~1-5 us post-edge), at the start of the next charging ramp. Recovery / restart voltage for the next cycle.
# dv_collapse [V]: v_breakdown - v_undershoot. Total observed swing including undershoot.
# period_s [s]: t_break[i] - t_break[i-1]. Undefined for event 0.
# rep_rate_hz [Hz]: 1 / period_s for that interval.
# t_collapse_10_90 [s]: t90 - t10. IEC/scope 10-90% fall time of the discharge edge.
# slew_collapse_mean [V/s]: 0.8 * (v_pre - v_post) / t_collapse_10_90. Mean collapse gradient; a lower bound set by scope bandwidth.
# slew_collapse_peak [V/s]: Maximum |dV/dt| over a 5 ns window on the falling edge.
# t_ring [s]: Dominant post-collapse ring period in the 50-400 ns window (median peak spacing of the residual after a short moving mean).
# charge_rate [V/s]: Least-squares slope of the linear charging ramp from residual settle to ~100 ns before t_break. I ≈ C * charge_rate if C is known.
# charge_r2 [1]: Coefficient of determination of the linear ramp fit. Low R² flags a non-linear ramp.
# v_charge_start [V]: Voltage at the start of the ramp-fit window.
# v_charge_end [V]: Voltage at the end of the ramp-fit window (near v_breakdown).
# recovery_s [s]: Time from t_break until a short local slope matches the next-cycle charge rate. Duration of the post-spark transient.
# energy_j [J]: 0.5 * C * v_breakdown^2. Only when --capacitance is given.
# charge_c [C]: C * (v_breakdown - v_residual). Only when --capacitance is given.
# source_current_a [A]: C * charge_rate during the linear ramp. Only when --capacitance is given.
# L_est_h [H]: 1 / ((2π / t_ring)^2 * C) if t_ring and C are known.
event_index,first_cycle,t_break,v_breakdown,v_undershoot,v_residual,dv_collapse,period_s,rep_rate_hz,t_collapse_10_90,slew_collapse_mean,slew_collapse_peak,t_ring,charge_rate,charge_r2,v_charge_start,v_charge_end,recovery_s,energy_j,charge_c,source_current_a,L_est_h
15,False,0.0008232178000000001,6203.7118,-1888.0862000000002,-539.4532,8091.798000000001,0.00019515699999999962,5124.079587204158,9.000000000033287e-09,719270933330.6732,917070440000.0,1.3000000000096268e-08,32480362.48303918,0.9953918770464013,0.0,6203.7118,,,,,
16,False,0.0010499258000000004,7282.618200000001,-809.1798000000001,-539.4532,8091.798000000001,0.00022670800000000038,4410.960354288329,9.000000000033287e-09,719270933330.6732,755234480000.0,8.499999999862784e-09,31625298.839918952,0.9948821468040141,269.7266,7282.618200000001,,,,,
17,False,0.0012374418,5933.9852,-539.4532,-269.7266,6473.4384,0.00018751599999999955,5332.87826105507,8.999999999599606e-09,575416746692.266,701289160000.0,1.2000000000622624e-08,30793522.002516877,0.991624504068553,539.4532,5933.9852,,,,,
18,False,0.0013486627999999999,3506.4458000000004,0.0,0.0,3506.4458000000004,0.00011122099999999989,8991.107794391355,1.4000000000437274e-08,200368331422.3132,377617240000.0,8.000000000125962e-09,31673147.64076262,0.9769047481185924,269.7266,3506.4458000000004,,,,,
19,False,0.0014678178,3776.1724000000004,0.0,0.0,3776.1724000000004,0.00011915500000000013,8392.430028114632,1.2999999999228906e-08,232379840013.7836,431562560000.0001,8.000000000125962e-09,30292331.667865943,0.9861637514986552,539.4532,4045.8990000000003,,,,,
20,False,0.0016437198000000004,5664.2586,-809.1798000000001,-269.7266,6473.4384,0.00017590200000000035,5684.9836840968155,1.3999999999569912e-08,369910765725.6496,593398520000.0,1.0999999999414256e-08,29408598.56434747,0.9941184847318193,539.4532,5664.2586,,,,,
21,False,0.0018261888000000006,5394.532,-809.1798000000001,-539.4532,6203.7118,0.0001824690000000002,5480.3829691618785,1.1999999999755262e-08,413580786675.1016,485507880000.0001,8.999999999599606e-09,29137926.49875403,0.99226841377972,269.7266,5394.532,,,,,
22,False,0.0020148108,5394.532,-539.4532,-809.1798000000001,5933.9852,0.0001886219999999994,5301.608508021351,1.1999999999755262e-08,395599013341.40155,485507880000.0,1.3000000000096268e-08,28175802.4992863,0.9920103928538059,269.7266,5394.532,,,,,
23,False,0.0022715438000000003,6203.7118,-2157.8128,-539.4532,8361.5246,0.0002567330000000003,3895.0972411026196,8.999999999599606e-09,743246631144.177,809179800000.0,9.000000000033287e-09,26780498.851949077,0.994576011624709,-539.4532,6203.7118,,,,,
24,False,0.0024227368000000003,4045.8990000000003,-269.7266,0.0,4315.6256,0.000151193,6614.062820368668,9.999999999940612e-09,345250048002.0504,593398520000.0001,8.000000000125962e-09,26482777.825360473,0.9844372222400302,269.7266,4045.8990000000003,,,,,
25,False,0.0026313188,5394.532,-1078.9064,-809.1798000000001,6473.4384,0.0002085819999999997,4794.27755031595,1.1999999999755262e-08,431562560008.80164,539453200000.0001,9.999999999940612e-09,23789788.43064273,0.9934107327136801,809.1798000000001,5394.532,,,,,
26,False,0.0028430088000000004,4315.6256,-809.1798000000001,0.0,5124.8054,0.0002116900000000005,4723.888705182095,1.3000000000096268e-08,315372639997.6646,377617240000.0,9.50000000020379e-09,23443048.704753615,0.9900757971618035,-539.4532,4315.6256,,,,,
27,False,0.0029917018000000005,3776.1724000000004,-1078.9064,-269.7266,4855.0788,0.0001486930000000001,6725.266152407978,8.000000000125962e-09,485507879992.3556,485507880000.0,8.000000000125962e-09,22398271.52232947,0.9845975397916311,539.4532,3776.1724000000004,,,,,
